time,bias,score,reason,sp_futures_sym,nyse_sym,dow_sym,sp500_sym,nasdaq_sym,iwm_sym,vix_sym,sp_futures_pct,nyse_pct,dow_pct,sp500_pct,nasdaq_pct,iwm_pct,vix_pct
2026-02-26T10:15:00-05:00,SHORT_ONLY,-1.1144861872101497,Market direction locked @ 10:15 score=-1.114 (vix_penalty=0.000) -> SHORT_ONLY,SPY,VTI,DIA,SPY,QQQ,IWM,VIXY,nan,nan,-0.23696204573872004,nan,-0.9486127551930457,nan,nan
2026-02-26T11:42:00-05:00,SHORT_ONLY,-0.6753107237349432,Market direction locked @ 11:42 score=-0.675 (vix_penalty=0.000) -> SHORT_ONLY,SPY,VTI,DIA,SPY,QQQ,IWM,VIXY,nan,nan,-0.10059957345780468,nan,-0.6048910223144799,nan,nan
