date,NVD,OPEN,RGTI
2025-02-19,0.002547770700636942,-0.03144654088050314,0.048479087452471425
2025-02-20,-0.01228293096145694,-0.045454545454545525,0.0389845874886674
2025-02-21,0.08147512864494,-0.054421768707483054,-0.06326352530541024
2025-02-24,0.061855670103092786,0.017985611510791477,-0.05822077317186769
2025-02-25,0.052091112770724424,0.05653710247349819,-0.1073194856577645
2025-02-26,-0.07187222715173036,0.030100334448160515,0.030470914127423754
2025-02-27,0.17265774378585097,-0.06493506493506496,-0.13655913978494638
2025-02-28,-0.0764715473667047,-0.07291666666666663,0.05354919053549212
2025-03-03,0.17196327683615809,-0.10861423220973787,-0.08983451536643028
2025-03-04,-0.03645676408556786,0.054621848739495826,0.023376623376623273
2025-03-05,-0.020950594121325827,-0.01195219123505964,0.03680203045685282
2025-03-06,0.11721494730118165,-0.05645161290322587,0.038555691554467586
2025-03-07,-0.03259005145797578,0.02991452991453003,0.10194460813199768
2025-03-10,0.09456264775413703,0.0,-0.15454545454545454
2025-03-11,-0.03320734341252696,-0.08298755186721996,0.017077798861479865
2025-03-12,-0.12957274504328398,0.09954751131221728,0.11567164179104505
2025-03-13,0.005453962143086244,-0.07818930041152261,-0.02564102564102566
2025-03-14,-0.10593490746649648,0.013392857142856984,0.2814645308924484
2025-03-17,0.03533190578158463,0.052863436123347984,-0.004464285714285587
2025-03-18,0.06894174422612886,-0.046025104602510636,-0.07982062780269061
2025-03-19,-0.035472428248952026,0.05263157894736836,-0.03508771929824561
2025-03-20,-0.01337345369441656,0.0,-0.09242424242424252
2025-03-21,0.01084378176889178,0.0,0.006121313299944253
2025-03-24,-0.06101240362051619,0.025000000000000133,0.08075221238938068
2025-03-25,0.011781506604783942,-0.020325203252032464,0.005117707267144445
2025-03-26,0.11503175723359216,-0.004149377593361092,-0.06619144602851323
2025-03-27,0.04272151898734178,-0.029166666666666563,-0.07633587786259532
2025-03-28,0.031714719271623615,-0.025751072961373467,-0.037780401416765086
2025-03-31,0.024856596558317623,-0.11013215859030834,-0.025766871165644134
2025-04-01,-0.035017221584385916,-0.00990099009900991,-0.016372795969773368
2025-04-02,-0.006543723973825077,0.010000000000000009,0.08642765685019205
2025-04-03,0.15658682634730559,-0.04495049504950499,-0.03594578668238069
