time,open,high,low,close,volume
2026-03-05T08:47:00-05:00,4.86,4.86,4.84,4.84,700.0
2026-03-05T09:16:00-05:00,4.84,4.85,4.81,4.82,3148.0
2026-03-05T09:30:00-05:00,4.83,5.0,4.825,4.975,60288.0
2026-03-05T09:45:00-05:00,5.03,5.095,5.005,5.06,67886.0
2026-03-05T10:00:00-05:00,5.065,5.095,5.035,5.06,29311.0
2026-03-05T10:15:00-05:00,5.045,5.065,4.99,5.045,72395.0
2026-03-05T10:30:00-05:00,5.05,5.05,4.985,4.985,21781.0
2026-03-05T10:45:00-05:00,5.005,5.005,4.92,4.94,40521.0
2026-03-05T11:00:00-05:00,4.94,4.945,4.9,4.93,55518.0
2026-03-05T11:15:00-05:00,4.93,4.94,4.9,4.92,33231.0
2026-03-05T11:30:00-05:00,4.92,5.02,4.915,5.005,60376.0
2026-03-05T11:45:00-05:00,5.01,5.08,5.01,5.07,41399.0
2026-03-05T12:00:00-05:00,5.065,5.1,5.065,5.1,21074.0
2026-03-05T13:00:00-05:00,4.91,4.925,4.87,4.925,70338.0
