time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,day_volume,pct_chg_from_open,min_day_volume,min_pct_chg,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-02-27T10:35:00-05:00,IONQ,5m_close,0.0,SUSPENDED,SHORT_ONLY,0,1,3,1,-1,0,-1,1,-1,0,-1,-0.5486632446102573,-0.4923242855485869,nan,nan,1.0,0.0,"Gate fail: day_volume 65,988 < 300,000",65988.0,-2.0594369134515067,300000,0.75,2026-02-27T10:52:59.983384-05:00,37.55,100.0,37.57,100.0,37.56,0.020000000000003126,0.05324813631523729
2026-02-27T10:30:00-05:00,QQQ,15m_close,1e-06,SUSPENDED,BOTH,1,1,1,-1,-1,1,0,-1,0,0,0,-0.021795062616933557,0.07677821479960312,nan,nan,1.0,0.0,"Gate fail: day_volume 56,498 < 300,000",56498.0,-0.1054591592927645,300000,0.75,2026-02-27T10:53:00.009413-05:00,606.12,40.0,606.2,40.0,606.1600000000001,0.08000000000004093,0.013197835554975735
2026-02-27T10:35:00-05:00,QQQ,5m_close,0.0,SUSPENDED,BOTH,1,1,2,-1,-1,1,0,-1,1,0,0,0.07873729348076042,0.07677821479960312,nan,nan,1.0,0.0,"Gate fail: day_volume 56,498 < 300,000",56498.0,-0.1054591592927645,300000,0.75,2026-02-27T10:53:00.009413-05:00,606.12,40.0,606.2,40.0,606.1600000000001,0.08000000000004093,0.013197835554975735
2026-02-27T10:30:00-05:00,IAG,15m_close,1e-06,SUSPENDED,SHORT_ONLY,1,1,2,-1,-1,1,1,-1,0,-1,1,-0.13213039343473826,-0.3216217532215753,nan,nan,1.0,0.0,"Gate fail: day_volume 40,258 < 300,000",40258.0,-0.02071680132588183,300000,0.75,2026-02-27T10:52:59.956495-05:00,24.09,300.0,24.11,1100.0,24.1,0.019999999999999574,0.08298755186721815
2026-02-27T10:35:00-05:00,IAG,5m_close,0.0,SUSPENDED,SHORT_ONLY,1,1,2,-1,-1,1,1,-1,-1,-1,1,-0.30077665067391934,-0.3216217532215753,nan,nan,1.0,0.0,"Gate fail: day_volume 40,258 < 300,000",40258.0,-0.02071680132588183,300000,0.75,2026-02-27T10:52:59.956495-05:00,24.09,300.0,24.11,1100.0,24.1,0.019999999999999574,0.08298755186721815
2026-02-27T10:30:00-05:00,TQQQ,15m_close,1e-06,SUSPENDED,LONG_ONLY,1,1,2,-1,-1,1,-1,-1,0,1,-1,-0.02556169062008778,0.2804586691846767,nan,nan,1.0,0.0,"Gate fail: day_volume 153,068 < 300,000",153068.0,-0.30358227079537725,300000,0.75,2026-02-27T10:52:59.949722-05:00,49.24,1300.0,49.25,3300.0,49.245000000000005,0.00999999999999801,0.020306630114728417
2026-02-27T10:35:00-05:00,TQQQ,5m_close,0.0,SUSPENDED,LONG_ONLY,0,1,3,-1,-1,1,-1,-1,1,1,-1,0.3158574865387636,0.2804586691846767,nan,nan,1.0,0.0,"Gate fail: day_volume 153,068 < 300,000",153068.0,-0.30358227079537725,300000,0.75,2026-02-27T10:52:59.949722-05:00,49.24,1300.0,49.25,3300.0,49.245000000000005,0.00999999999999801,0.020306630114728417
2026-02-27T10:30:00-05:00,RGTI,15m_close,1e-06,SUSPENDED,SHORT_ONLY,1,1,2,0,-1,1,-1,0,0,-1,-1,-0.21253581412792275,-0.6244721219821073,nan,nan,1.0,0.0,"Gate fail: day_volume 81,584 < 300,000",81584.0,-1.7898383371824367,300000,0.75,2026-02-27T10:52:59.641907-05:00,17.0,1600.0,17.02,300.0,17.009999999999998,0.019999999999999574,0.11757789535567065
2026-02-27T10:35:00-05:00,RGTI,5m_close,0.0,SUSPENDED,SHORT_ONLY,1,1,2,0,-1,1,-1,0,-1,-1,-1,-0.6111276100225139,-0.6244721219821073,nan,nan,1.0,0.0,"Gate fail: day_volume 81,584 < 300,000",81584.0,-1.7898383371824367,300000,0.75,2026-02-27T10:52:59.641907-05:00,17.0,1600.0,17.02,300.0,17.009999999999998,0.019999999999999574,0.11757789535567065
2026-02-27T10:30:00-05:00,OPEN,15m_close,1.1e-05,SUSPENDED,BOTH,1,1,2,-1,1,1,-1,0,0,-1,1,0.1742699493963501,nan,nan,nan,1.0,0.0,"Gate fail: day_volume 68,619 < 300,000",68619.0,0.09425070688029447,300000,0.75,2026-02-27T10:52:58.164882-05:00,5.3,17000.0,5.31,11200.0,5.305,0.009999999999999787,0.1885014137605992
2026-02-27T10:35:00-05:00,OPEN,5m_close,2e-06,SUSPENDED,BOTH,1,1,2,-1,1,1,-1,0,0,-1,1,0.23121410262194614,nan,nan,nan,1.0,0.0,"Gate fail: day_volume 68,619 < 300,000",68619.0,0.09425070688029447,300000,0.75,2026-02-27T10:52:58.164882-05:00,5.3,17000.0,5.31,11200.0,5.305,0.009999999999999787,0.1885014137605992
2026-02-27T10:52:00-05:00,IONQ,5m_close,0.0,SUSPENDED,SHORT_ONLY,0,1,3,1,-1,0,-1,1,-1,0,-1,-1.3036492199278127,-0.4923242855485869,nan,nan,1.0,0.0,"Gate fail: day_volume 70,262 < 300,000",70262.0,-2.6850886339937485,300000,0.75,2026-02-27T10:56:00.144860-05:00,37.32,100.0,37.33,100.0,37.325,0.00999999999999801,0.02679169457467652
2026-02-27T10:52:00-05:00,NVD,5m_close,3.6e-05,RECONSIDER,BOTH,0,1,3,1,-1,-1,1,-1,0,-1,1,0.28174665366634893,nan,nan,nan,1.0,0.5,Chop detected: flip_count=3; trend disabled,384349.0,0.9790209790209614,300000,0.75,2026-02-27T10:56:00.127047-05:00,7.21,20000.0,7.22,19200.0,7.215,0.009999999999999787,0.13860013860013565
2026-02-27T10:52:00-05:00,SOUN,5m_close,0.0,SUSPENDED,SHORT_ONLY,1,1,1,1,1,1,1,1,-1,-1,1,-2.2729884831818805,-0.6058939812286898,nan,nan,1.0,0.0,"Gate fail: day_volume 127,349 < 300,000",127349.0,-2.033898305084747,300000,0.75,2026-02-27T10:55:59.466581-05:00,8.67,200.0,8.68,900.0,8.675,0.009999999999999787,0.11527377521613587
2026-02-27T10:52:00-05:00,QQQ,5m_close,0.0,SUSPENDED,BOTH,1,1,2,-1,-1,1,0,-1,1,0,0,-0.1287594488681485,0.07677821479960312,nan,nan,1.0,0.0,"Gate fail: day_volume 60,322 < 300,000",60322.0,-0.13841514657175757,300000,0.75,2026-02-27T10:56:00.162870-05:00,605.96,40.0,606.16,40.0,606.06,0.1999999999999318,0.033000033000021745
2026-02-27T10:52:00-05:00,OPEN,5m_close,0.0,SUSPENDED,BOTH,1,1,2,-1,1,1,-1,0,1,-1,1,-0.057630217153150275,nan,nan,nan,1.0,0.0,"Gate fail: day_volume 95,509 < 300,000",95509.0,-0.6597549481621168,300000,0.75,2026-02-27T10:55:57.068055-05:00,5.26,11400.0,5.27,4900.0,5.265,0.009999999999999787,0.18993352326685256
