time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-02-20T08:31:00-05:00,OPEN,5m_close,1.2,CONFIRMED,BOTH,1,1,2,1,1,-1,-1,1,1,1,1,-1.1537203543903503,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:35:52.625489-05:00,5.43,100.0,5.45,100.0,5.4399999999999995,0.020000000000000462,0.36764705882353793
2026-02-20T08:30:00-05:00,TQQQ,5m_close,1.2,CONFIRMED,BOTH,1,1,2,-1,0,0,-1,1,-1,1,1,-0.44428222503204035,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:35:59.866984-05:00,48.37,100.0,48.39,100.0,48.379999999999995,0.020000000000003126,0.04133939644481837
2026-02-20T08:35:00-05:00,TQQQ,5m_close,1.2,CONFIRMED,BOTH,1,1,2,-1,0,0,-1,1,-1,1,1,-0.22369778259790693,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:40:59.702365-05:00,48.1,100.0,48.12,800.0,48.11,0.01999999999999602,0.04157139887756396
2026-02-20T08:36:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:41:00.002393-05:00,600.62,280.0,600.71,280.0,600.665,0.09000000000003183,0.014983393405647381
2026-02-20T08:35:00-05:00,OPEN,5m_close,1.2,CONFIRMED,BOTH,1,1,2,1,1,-1,-1,1,1,1,1,-0.6344553321996722,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:40:58.137966-05:00,5.39,100.0,5.4,100.0,5.395,0.010000000000000675,0.1853568118628485
2026-02-20T08:32:00-05:00,RGTI,5m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,0,0,0,0,0,1,1,-0.839587195237259,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:41:58.261027-05:00,16.26,100.0,16.31,100.0,16.285,0.04999999999999716,0.3070310101320059
2026-02-20T08:36:00-05:00,QQQ,15m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,-1,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:46:59.950307-05:00,600.53,280.0,600.6,280.0,600.565,0.07000000000005002,0.011655690891085898
2026-02-20T08:40:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,-1,0,0,0,0,-1,0,nan,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:46:59.950307-05:00,600.53,280.0,600.6,280.0,600.565,0.07000000000005002,0.011655690891085898
2026-02-20T08:31:00-05:00,OPEN,15m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,-1,1,-0.6344553321996722,-1.1111683918282749,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.11%),2026-02-20T08:46:47.494849-05:00,5.36,100.0,5.38,100.0,5.37,0.019999999999999574,0.37243947858472204
2026-02-20T08:40:00-05:00,OPEN,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,-1,1,-1.1407240699908292,-1.1111683918282749,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.11%),2026-02-20T08:46:47.494849-05:00,5.36,100.0,5.38,100.0,5.37,0.019999999999999574,0.37243947858472204
