time,open,high,low,close,volume
2026-02-26T09:30:00-05:00,72.915,74.12,72.85,74.0,53537.0
2026-02-26T09:35:00-05:00,74.05,74.05,73.3,73.91,39947.0
2026-02-26T09:40:00-05:00,73.89,74.35,73.88,74.275,31230.0
2026-02-26T10:02:00-05:00,75.295,75.34,75.19,75.28,5148.0
2026-02-26T10:08:00-05:00,75.53,75.53,75.41,75.445,5311.0
2026-02-26T10:15:00-05:00,75.3,75.3,75.085,75.175,2171.0
2026-02-26T10:23:00-05:00,75.0,75.09,74.92,75.09,3153.0
2026-02-26T10:40:00-05:00,75.555,75.7,75.49,75.53,25627.0
2026-02-26T10:45:00-05:00,75.53,75.7,75.45,75.685,28222.0
2026-02-26T10:50:00-05:00,75.68,75.86,75.555,75.86,17423.0
2026-02-26T10:55:00-05:00,75.87,76.1,75.81,75.985,16141.0
2026-02-26T11:00:00-05:00,75.94,75.94,75.565,75.66,7295.0
2026-02-26T11:05:00-05:00,75.655,75.71,75.52,75.61,7080.0
2026-02-26T11:10:00-05:00,75.61,75.76,75.595,75.68,6892.0
2026-02-26T11:15:00-05:00,75.67,75.67,75.23,75.23,9382.0
2026-02-26T11:20:00-05:00,75.22,75.375,75.175,75.23,6751.0
2026-02-26T11:25:00-05:00,75.23,75.28,75.03,75.085,9309.0
2026-02-26T11:30:00-05:00,75.13,75.18,75.035,75.115,10083.0
2026-02-26T11:35:00-05:00,75.1,75.11,74.93,75.03,10136.0
2026-02-26T09:45:00-05:00,74.24,74.325,74.19,74.26,8467.0
2026-02-26T11:42:00-05:00,75.01,75.03,74.96,75.03,5067.0
2026-02-26T11:45:00-05:00,75.01,75.14,75.0,75.09,5365.0
2026-02-26T11:50:00-05:00,75.125,75.15,75.02,75.04,5082.0
2026-02-26T11:40:00-05:00,74.99,74.99,74.96,74.985,1472.0
2026-02-26T11:59:00-05:00,74.92,74.93,74.89,74.89,1971.0
2026-02-26T12:00:00-05:00,74.9,75.07,74.78,75.07,9425.0
2026-02-26T12:05:00-05:00,75.05,75.135,74.965,75.01,10703.0
2026-02-26T12:10:00-05:00,75.015,75.28,75.0,75.13,10708.0
2026-02-26T12:15:00-05:00,75.075,75.135,75.04,75.055,9939.0
2026-02-26T12:20:00-05:00,75.06,75.11,75.005,75.075,5814.0
2026-02-26T12:25:00-05:00,75.075,75.08,75.02,75.05,5940.0
2026-02-26T12:30:00-05:00,75.03,75.09,74.99,75.03,7548.0
2026-02-26T12:35:00-05:00,75.05,75.08,74.96,75.08,5674.0
2026-02-26T11:55:00-05:00,75.02,75.04,74.885,74.9,5329.0
2026-02-26T13:01:00-05:00,75.205,75.26,75.13,75.205,6426.0
2026-02-26T13:05:00-05:00,75.215,75.35,75.21,75.35,9280.0
2026-02-26T13:10:00-05:00,75.33,75.35,75.13,75.14,6745.0
2026-02-26T13:15:00-05:00,75.14,75.3,75.05,75.28,8248.0
2026-02-26T12:40:00-05:00,75.085,75.165,75.08,75.09,6892.0
2026-02-26T13:27:00-05:00,75.305,75.305,75.23,75.235,1139.0
2026-02-26T13:39:00-05:00,75.51,75.51,75.49,75.49,1008.0
2026-02-26T13:40:00-05:00,75.47,75.53,75.455,75.455,4748.0
2026-02-26T13:45:00-05:00,75.455,75.65,75.455,75.63,9280.0
2026-02-26T13:20:00-05:00,75.3,75.32,75.185,75.185,5363.0
2026-02-26T14:00:00-05:00,75.52,75.65,75.48,75.63,9239.0
2026-02-26T14:05:00-05:00,75.62,75.62,75.47,75.55,5686.0
2026-02-26T15:06:00-05:00,75.74,75.76,75.715,75.72,3449.0
2026-02-26T15:21:00-05:00,75.68,75.71,75.64,75.66,10083.0
2026-02-26T15:25:00-05:00,75.675,75.695,75.57,75.62,18402.0
2026-02-26T15:30:00-05:00,75.62,75.725,75.53,75.53,31091.0
