time,open,high,low,close,volume
2026-03-05T09:30:00-05:00,76.59,77.58,76.42,77.525,26775.0
2026-03-05T09:35:00-05:00,77.68,78.22,77.63,77.89,20286.0
2026-03-05T09:40:00-05:00,77.85,78.1,77.775,77.93,11198.0
2026-03-05T09:45:00-05:00,77.71,77.755,77.26,77.64,23929.0
2026-03-05T09:50:00-05:00,77.65,77.85,77.565,77.7,28005.0
2026-03-05T09:55:00-05:00,77.65,77.66,77.135,77.4,12009.0
2026-03-05T10:00:00-05:00,77.42,77.69,77.17,77.25,24860.0
2026-03-05T10:05:00-05:00,77.28,77.53,77.27,77.36,8974.0
2026-03-05T10:10:00-05:00,77.41,77.64,77.305,77.54,14979.0
2026-03-05T10:15:00-05:00,77.57,77.58,77.245,77.32,14757.0
2026-03-05T10:20:00-05:00,77.29,77.29,76.37,76.38,20498.0
2026-03-05T10:25:00-05:00,76.36,76.5,76.16,76.245,20320.0
2026-03-05T10:30:00-05:00,76.27,76.45,76.17,76.4,19579.0
2026-03-05T10:35:00-05:00,76.33,76.6,76.3,76.55,16017.0
2026-03-05T10:40:00-05:00,76.52,76.69,76.285,76.35,20677.0
2026-03-05T10:45:00-05:00,76.31,76.31,76.01,76.09,21274.0
2026-03-05T10:50:00-05:00,76.1,76.45,76.07,76.32,8848.0
2026-03-05T10:55:00-05:00,76.26,76.26,75.72,76.11,19310.0
2026-03-05T11:00:00-05:00,76.08,76.11,75.72,75.765,14148.0
2026-03-05T11:05:00-05:00,75.735,75.81,75.61,75.61,11663.0
2026-03-05T11:10:00-05:00,75.6,75.835,75.5,75.73,14082.0
2026-03-05T11:15:00-05:00,75.72,75.72,75.415,75.445,9406.0
2026-03-05T11:20:00-05:00,75.495,75.68,75.42,75.655,7336.0
2026-03-05T11:25:00-05:00,75.615,75.91,75.615,75.91,10735.0
2026-03-05T11:30:00-05:00,75.86,76.095,75.79,75.985,5781.0
2026-03-05T11:35:00-05:00,75.94,76.025,75.94,75.985,3934.0
2026-03-05T11:40:00-05:00,76.01,76.1,75.99,76.07,8078.0
2026-03-05T11:45:00-05:00,76.14,76.22,76.09,76.13,9516.0
2026-03-05T11:50:00-05:00,76.18,76.18,76.04,76.08,4689.0
2026-03-05T11:55:00-05:00,76.105,76.38,76.105,76.315,15161.0
2026-03-05T12:00:00-05:00,76.29,76.33,76.26,76.29,8844.0
2026-03-05T13:00:00-05:00,75.52,75.65,75.47,75.65,5170.0
2026-03-05T13:05:00-05:00,75.66,75.74,75.61,75.68,6525.0
2026-03-05T13:10:00-05:00,75.7,75.78,75.675,75.77,3839.0
2026-03-05T13:15:00-05:00,75.76,75.78,75.61,75.61,6223.0
2026-03-05T13:20:00-05:00,75.635,75.72,75.61,75.62,5398.0
